CaseID,SCQ_1,SCQ_2,SCQ_3,SCQ_4,SCQ_5,SCQ_6,SCQ_7,SCQ_8,SCQ_9,SCQ_10,WIS_1,WIS_2,WIS_3,WIS_4,WIS_5,WIS_6,WIS_7,WIS_8,WIS_9,WIS_10,WIS_11,WIS_12,FIT_1,FIT_2,FIT_3,FIT_4,FIT_5,FIT_6,FIT_7,FIT_8,FIT_9,FIT_10,FIT_11,FIT_12,FIT_13,FIT_14,FIT_15,FIT_16,FIT_17
131,5,5,3,4,5,4,4,4,5,4,2,1,1,1,2,2,1,1,2,1,1,1,3,5,6,3,2,4,4,3,3,2,2,2,4,3,4,4,5
132,6,7,4,3,5,5,5,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,3,2,2,1,3,1,2,1,1,1,4
133,7,7,3,6,7,7,6,6,6,5,2,2,1,1,1,2,1,1,1,1,1,1,2,5,4,6,1,1,2,5,2,2,2,2,1,2,2,3,5
134,7,5,6,6,6,3,6,6,6,6,2,1,2,2,2,1,2,2,2,1,2,2,5,5,3,6,1,5,5,2,2,2,2,2,5,3,3,3,5
135,5,7,1,6,6,5,6,5,4,5,2,2,1,2,4,1,1,2,4,1,1,2,2,2,1,3,2,2,2,5,3,2,3,2,6,2,2,1,5
136,6,3,5,6,6,5,6,6,4,5,2,2,2,1,2,1,1,2,2,1,1,1,3,2,3,3,2,2,2,3,2,3,4,2,2,2,2,2,5
137,6,6,4,4,5,2,4,5,6,3,1,2,1,1,2,1,1,1,1,1,1,1,2,2,4,4,2,2,2,2,2,2,2,2,4,2,2,2,2
138,7,7,6,6,7,7,7,7,4,5,2,2,1,2,2,1,1,1,1,1,1,1,3,5,3,4,7,6,5,5,5,2,5,5,2,2,2,3,3
139,7,7,6,7,7,6,7,5,6,5,2,2,1,2,4,1,1,1,1,1,1,1,2,2,3,3,3,3,2,2,2,2,2,2,3,2,2,2,3
140,7,7,4,7,7,4,6,5,7,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,1,1,1,1,1,1,2
141,7,7,5,5,7,3,5,5,5,3,2,2,2,1,2,1,1,1,2,1,1,1,3,5,2,4,2,5,4,4,2,3,2,3,5,3,3,2,4
142,5,5,5,6,6,7,6,6,5,6,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1
143,6,6,5,5,7,5,6,5,6,4,2,2,1,1,2,2,1,2,2,2,1,1,2,2,5,4,3,3,3,4,4,2,2,2,4,2,2,2,4
144,7,6,6,7,7,6,7,7,7,6,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,1,5
145,6,6,5,6,6,5,6,4,5,4,2,2,1,1,2,2,1,1,1,1,1,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3
146,5,5,3,2,4,3,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,4,3,2,2,2,2,2,3,2,2,2,2,2,2
147,2,2,2,5,3,1,4,4,2,2,2,2,1,1,1,1,1,1,2,1,1,1,2,2,4,4,2,2,2,2,2,2,2,2,1,2,4,4,2
148,7,7,7,7,7,7,7,6,6,5,3,3,2,2,4,2,1,1,1,1,1,1,3,6,6,2,3,6,5,6,4,3,3,2,6,2,2,2,2
149,6,5,2,6,7,6,7,6,5,5,1,2,1,1,2,1,1,1,1,1,1,1,1,1,5,3,1,1,2,2,3,2,2,1,2,2,2,1,3
150,7,7,6,7,7,7,7,6,6,6,2,2,1,1,1,2,1,1,1,1,1,1,5,6,3,7,2,6,6,6,2,2,5,2,2,6,2,2,6
